"","...1","a","q","ad","per_y","data_arc","n_obs_used","H","diameter","moid"
"1",0,0,3,0,5,0,1002,3,939,1.59478
"2",1,3,0,3,5,72318,8490,0,545,1.23324
"3",2,0,0,0,0,72684,7104,5,247,1.03454
"4",6,2,0,0,4,0,0,6,200,0.8461
"5",7,2,2,0,3,62655,0,6,147,0.874176
"6",8,2,2,3,4,0,2649,6,190,NA
"7",9,0,0,3,6,0,0,5,407,1.77839
"8",10,0,2,0,4,61699,5475,7,143,1.19322
"9",11,2,0,3,4,61581,0,7,115,0.824953
"10",12,0,2,3,4,0,0,0,223,NA
"11",15,3,3,3,5,12856,2364,0,0,1.5358
"12",16,2,2,3,0,61117,0,8,85,1.12981
"13",17,2,0,3,3,60906,5082,7,140,0.813258
"14",18,0,0,0,0,60970,3316,7,200,1.06213
"15",20,2,0,3,4,55915,0,0,96,1.02791
"16",22,0,2,0,4,0,0,7,108,1.04633
"17",23,3,3,4,6,60645,0,7,198,1.75813
"18",26,2,0,3,0,0,2669,7,96,NA
"19",30,0,0,0,6,0,0,7,267,1.56992
"20",31,0,2,0,0,0,2133,8,81,1.37704
"21",32,3,2,0,5,59639,0,9,53,0.913808
"22",34,0,2,4,5,58229,0,8,103,NA
"23",35,0,2,0,0,56069,1720,8,115,NA
"24",36,3,0,0,4,59849,0,7,108,1.19442
"25",37,3,2,0,5,0,0,0,92,1.33232
"26",38,0,2,0,5,0,5742,6,179,1.46215
"27",40,0,0,0,0,0,0,7,205,1.02633
"28",41,0,2,3,4,0,2754,8,111,NA
"29",42,2,2,0,0,56486,2495,8,71,0.81586
"30",45,0,2,0,4,56621,3338,8,112,1.08671
"31",47,0,0,0,5,0,2829,0,216,NA
"32",48,0,0,0,5,56886,0,0,166,1.42463
"33",49,3,2,3,4,59008,2896,9,84,NA
"34",50,2,0,3,4,0,0,7,138,1.21015
"35",51,3,0,3,5,58012,3063,0,304,1.76943
"36",52,0,0,3,0,0,0,9,91,NA
"37",53,3,2,3,0,56810,2242,0,154,1.16147
"38",54,0,2,0,0,56886,2838,8,85,1.36566
"39",58,3,0,0,4,0,2355,8,165,1.39378
"40",59,2,2,3,4,57937,3036,0,43,0.971724
"41",60,3,2,3,0,56240,2067,8,86,NA
"42",61,3,3,0,6,41479,3041,0,107,NA
"43",63,3,2,3,4,57770,0,8,58,1.36002
"44",64,3,3,4,6,57769,3172,7,237,2.02972
"45",65,0,2,3,4,0,2749,0,72,1.1999
"46",66,0,0,3,4,56780,2712,0,56,NA
"47",67,0,2,3,5,56876,0,7,123,NA
"48",68,3,2,3,5,0,3130,7,138,NA
"49",69,3,2,3,0,0,0,8,128,1.1631
"50",70,0,2,3,5,0,0,0,83,1.40954
"51",71,2,2,0,3,56302,2710,0,75,0.986631
"52",72,0,3,3,0,0,0,9,45,1.56277
"53",73,0,2,0,5,56815,2906,9,119,1.12443
"54",74,0,0,0,4,56708,3126,9,62,NA
"55",76,3,2,0,4,51164,2726,0,61,1.32908
"56",77,0,2,3,4,56942,2449,8,121,NA
"57",78,0,0,3,4,56932,2626,8,63,NA
"58",79,2,0,3,0,0,2328,0,69,0.842872
"59",80,3,0,3,5,0,3034,8,118,NA
"60",81,0,2,3,5,56507,2715,8,58,1.17092
"61",82,2,2,3,0,56348,0,0,111,1.23261
"62",83,0,0,0,4,56142,2400,9,79,0.797648
"63",85,0,2,0,0,53927,0,0,110,1.44908
"64",86,3,0,4,0,45460,0,7,253,2.17369
"65",87,0,0,3,5,55942,3145,7,232,NA
"66",88,0,0,0,4,0,2272,0,145,1.10012
"67",89,3,0,0,0,0,3876,8,116,1.61312
